Organism(sign=Y,strength=5,initiative=4,pos_x=34,pos_y=10,_id=15,is_alive=1,skill_counter=2,is_skill_activated=1)
Organism(sign=O,strength=4,initiative=4,pos_x=10,pos_y=7,_id=2,is_alive=1)
Organism(sign=O,strength=4,initiative=4,pos_x=9,pos_y=13,_id=3,is_alive=1)
Organism(sign=F,strength=3,initiative=7,pos_x=26,pos_y=1,_id=4,is_alive=1)
Organism(sign=F,strength=3,initiative=7,pos_x=25,pos_y=1,_id=5,is_alive=1)
Organism(sign=T,strength=2,initiative=1,pos_x=1,pos_y=18,_id=6,is_alive=1)
Organism(sign=T,strength=2,initiative=1,pos_x=1,pos_y=19,_id=7,is_alive=1)
Organism(sign=A,strength=4,initiative=4,pos_x=19,pos_y=17,_id=8,is_alive=1)
Organism(sign=A,strength=4,initiative=4,pos_x=16,pos_y=14,_id=9,is_alive=1)
Organism(sign=G,strength=0,initiative=0,pos_x=39,pos_y=0,_id=10,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=39,pos_y=19,_id=11,is_alive=1)
Organism(sign=X,strength=0,initiative=0,pos_x=54,pos_y=10,_id=12,is_alive=1)
Organism(sign=N,strength=99,initiative=0,pos_x=46,pos_y=18,_id=13,is_alive=1)
Organism(sign=H,strength=10,initiative=0,pos_x=1,pos_y=1,_id=14,is_alive=1)
Organism(sign=T,strength=2,initiative=1,pos_x=2,pos_y=18,_id=17,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=39,pos_y=18,_id=18,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=40,pos_y=19,_id=19,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=38,pos_y=19,_id=20,is_alive=1)
Organism(sign=N,strength=99,initiative=0,pos_x=46,pos_y=17,_id=21,is_alive=1)
Organism(sign=H,strength=10,initiative=0,pos_x=2,pos_y=1,_id=22,is_alive=1)
Organism(sign=T,strength=2,initiative=1,pos_x=0,pos_y=19,_id=24,is_alive=1)
Organism(sign=G,strength=0,initiative=0,pos_x=40,pos_y=0,_id=25,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=39,pos_y=17,_id=29,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=40,pos_y=18,_id=30,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=41,pos_y=19,_id=31,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=38,pos_y=18,_id=32,is_alive=1)
Organism(sign=N,strength=99,initiative=0,pos_x=46,pos_y=16,_id=33,is_alive=1)
Organism(sign=T,strength=2,initiative=1,pos_x=0,pos_y=18,_id=34,is_alive=1)
Organism(sign=G,strength=0,initiative=0,pos_x=39,pos_y=1,_id=35,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=37,pos_y=19,_id=39,is_alive=1)
Organism(sign=G,strength=0,initiative=0,pos_x=41,pos_y=0,_id=42,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=39,pos_y=16,_id=43,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=40,pos_y=17,_id=44,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=38,pos_y=17,_id=45,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=41,pos_y=18,_id=46,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=42,pos_y=19,_id=48,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=37,pos_y=18,_id=51,is_alive=1)
Organism(sign=T,strength=2,initiative=1,pos_x=1,pos_y=17,_id=53,is_alive=1)
Organism(sign=T,strength=2,initiative=1,pos_x=2,pos_y=19,_id=54,is_alive=1)
Organism(sign=T,strength=2,initiative=1,pos_x=0,pos_y=17,_id=56,is_alive=1)
Organism(sign=N,strength=99,initiative=0,pos_x=46,pos_y=15,_id=73,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=36,pos_y=19,_id=74,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=39,pos_y=15,_id=75,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=40,pos_y=16,_id=76,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=38,pos_y=16,_id=77,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=41,pos_y=17,_id=78,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=37,pos_y=17,_id=79,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=42,pos_y=18,_id=81,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=43,pos_y=19,_id=83,is_alive=1)
Organism(sign=T,strength=2,initiative=1,pos_x=3,pos_y=18,_id=89,is_alive=1)
Organism(sign=T,strength=2,initiative=1,pos_x=1,pos_y=16,_id=90,is_alive=1)
Organism(sign=G,strength=0,initiative=0,pos_x=38,pos_y=0,_id=91,is_alive=1)
Organism(sign=N,strength=99,initiative=0,pos_x=47,pos_y=18,_id=94,is_alive=1)
Organism(sign=G,strength=0,initiative=0,pos_x=40,pos_y=1,_id=101,is_alive=1)
Organism(sign=G,strength=0,initiative=0,pos_x=42,pos_y=0,_id=109,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=36,pos_y=18,_id=116,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=35,pos_y=19,_id=118,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=39,pos_y=14,_id=119,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=40,pos_y=15,_id=120,is_alive=1)
Organism(sign=M,strength=0,initiative=0,pos_x=41,pos_y=16,_id=121,is_alive=1)
